,County,percent_food_desert,pop2010_in_des,num_tracts,n_food_des,n_urban,n_rural,urban_des,rural_des,Rural,Urban,LILATracts_1And10,high_food_des_prev,cnty_obesity_pct,cnty_obesity_pct_adj,cnty_dm_pct,cnty_dm_pct_adj,cnty_inactive_pct,cnty_inactive_pct_adj,POP2010,OHU2010,NUMGQTRS,HUNVFlag,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,des_percent,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Amebiasis,Anaplasmosis and Ehrlichiosis,Babesiosis,"Botulism, Foodborne","Botulism, Other","Botulism, Wound",Brucellosis,Campylobacteriosis,Chlamydia,Cholera,Ciguatera Fish Poisoning,Coccidioidomycosis,Creutzfeldt-Jakob Disease and other Transmissible Spongiform Encephalopathies,Cryptosporidiosis,Cysticercosis or Taeniasis,Dengue,Diphtheria,E. coli O157,E. coli Other STEC (non-O157),Early Syphilis,Giardiasis,Gonorrhea,HIV,Hantavirus Infection,Hemolytic Uremic Syndrome,Influenza Death (<65 years of age),Invasive Meningococcal Disease,Legionellosis,Leprosy,Leptospirosis,Listeriosis,Lyme Disease,Malaria,Measles,Mumps,Paralytic Shellfish Poisoning,Pertussis,"Plague, human",Psittacosis,Q Fever,"Rabies, human",Relapsing Fever,Rubella,Salmonellosis,Scombroid Fish Poisoning,Shiga Toxin Positive Feces (without culture confirmation),Shigellosis,Spotted Fever Rickettsiosis,Staphylococcus aureus Infection (cases resulting in death or ICU),Streptococcal Infection (cases in food and dairy workers),Tetanus,Toxic Shock Syndrome (Non-Streptococcal),Trichinosis,Tuberculosis,Tularemia,"Typhoid Fever, case",Typhus Fever,Varicella Hospitalizations,Vibrio Infection (non-Cholera),Yersiniosis,Cnty_Fips,opiods_rx_1000
0,Alameda,0.0371337329526,56082.0,360.0,15.0,354.0,6.0,15.0,0.0,0.0166666666667,0.983333333333,0.0416666666667,0.0,20.7,20.4,7.8,7.8,16.0,16.1,1510271,545138,37442.0,53,2765.0,18.09375,85.7,2543.085625,1586.53375,18435.379375,20.824375,51.65875,13.03,27.7825,1.590625,1.195625,4.663125,9.9725,10.795625,66.281875,22.920625,6.53,0.0416666666667,8.20853174603,168.0,13.8375,2.8,7.78888888889,11.3555555556,11.4444444444,13.8111111111,17.825,15.3,20.5777777778,22.6,4.85714285714,15.4727272727,17.8777777778,13.45,1.585,0.0,0.0,0.0,0.0,0.198,0.0,23.848,464.349,0.0,0.0,1.387,0.132,0.33,0.0,0.066,0.0,0.925,0.264,11.363,7.531,127.103,15.657,0.0,0.264,0.066,0.132,0.132,0.132,0.0,0.595,0.132,0.859,0.132,0.066,0.0,28.803,0.0,0.0,0.0,0.0,0.132,0.0,16.978,0.0,0.33,2.444,0.0,0.066,0.0,0.0,0.0,0.0,12.354,0.0,0.727,0.0,0.132,0.528,0.264,1,557.2
1,Alpine,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,23.2,9.6,7.7,18.0,17.3,1175,497,24.0,0,0.0,0.0,81.668627451,1176.0,0.0,0.0,5.36,68.96,0.34,4.08,27.13,0.0,4.51,4.0,9.86,64.03,26.11,9.44,0.0,11.6692307692,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,578.68
2,Amador,0.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,22.8,9.8,7.5,17.2,15.8,38091,14569,4551.0,2,55.0,19.0,87.7,2341.85,3025.82666667,4560.5,9.21333333333,94.4466666667,1.08,1.54666666667,3.09,0.363333333333,4.01,3.49,21.4533333333,62.17,16.38,3.29333333333,0.0,11.05625,14.0,15.3,,8.7,12.4,12.5,17.1,,,20.6,21.9,4.9,15.0,15.7,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.206,187.518,0.0,0.0,5.282,0.0,2.641,0.0,2.641,0.0,0.0,2.641,2.641,0.0,10.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.641,0.0,2.641,0.0,0.0,10.564,0.0,0.0,0.0,0.0,0.0,0.0,7.923,0.0,0.0,10.564,0.0,0.0,0.0,0.0,0.0,0.0,2.641,0.0,0.0,0.0,0.0,0.0,0.0,5,1244.76
3,Butte,0.268086363636,58979.0,51.0,14.0,38.0,13.0,13.0,1.0,0.254901960784,0.745098039216,0.274509803922,1.0,24.3,24.3,8.1,7.3,16.8,16.3,220000,87618,4942.0,13,590.0,23.8875,86.1,861.2775,2532.1875,6141.97625,13.28125,90.34375,1.4,3.62875,4.29375,0.60875,4.95,5.03875,15.455,61.51375,23.0325,5.30375,0.274509803922,11.2293577982,56.0,13.4333333333,3.2,7.55,10.375,10.975,13.3666666667,16.5666666667,14.6,21.625,22.475,5.43333333333,16.225,17.875,12.7666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.368,364.594,0.0,0.0,0.909,0.0,0.455,0.0,0.0,0.0,1.364,0.0,0.455,4.546,27.731,2.273,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.455,0.455,0.0,0.0,0.0,0.0,14.547,0.0,0.0,0.0,0.0,0.0,0.0,25.913,0.0,0.0,3.182,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.455,0.0,0.0,0.455,0.0,0.0,7,1389.2
4,Calaveras,0.0,0.0,10.0,0.0,2.0,8.0,0.0,0.0,0.8,0.2,0.0,0.0,25.8,25.3,9.1,6.7,17.7,16.1,45578,18886,493.0,1,73.0,17.7,93.1,2190.19,2420.74,45994.0,9.99,93.92,1.21,1.68,3.39,0.15,2.64,2.37,20.03,59.92,20.05,4.14,0.0,8.125,14.0,,,8.0,12.2,10.9,14.6,,,20.8,22.3,4.8,15.7,16.6,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.998,105.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,13.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.799,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1068.98
5,Colusa,0.282692936178,6055.0,5.0,1.0,2.0,3.0,1.0,0.0,0.6,0.4,0.2,0.0,22.6,22.3,7.8,7.4,15.8,15.5,21419,7056,225.0,0,73.0,29.625,68.7,2974.2275,3280.875,1927.5,49.595,73.255,1.535,1.9925,3.765,0.545,4.6975,24.02,11.985,58.805,29.2075,7.8625,0.2,14.952173913,14.0,,,7.8,11.5,10.9,,,,20.6,21.5,,15.5,16.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.965,144.3,0.0,0.0,0.0,0.0,4.655,0.0,4.655,0.0,4.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.965,0.0,0.0,0.0,0.0,0.0,0.0,11,836.42
6,Contra Costa,0.074268964038,77910.0,208.0,15.0,202.0,6.0,15.0,0.0,0.0288461538462,0.971153846154,0.0721153846154,0.0,23.7,23.4,7.6,7.0,16.4,16.1,1049025,375364,10314.0,30,1894.0,16.7090909091,88.4,1972.29636364,1642.19727273,11277.6736364,24.3181818182,65.9845454545,10.4336363636,15.9245454545,1.34636363636,0.812727272727,4.54545454545,10.4727272727,11.94,62.9445454545,25.1154545455,6.62454545455,0.0721153846154,7.73059701493,98.0,14.225,2.75,7.68,11.4,10.58,13.98,16.875,12.9,19.68,21.1,5.175,14.6571428571,16.52,12.3,1.045,0.0,0.0,0.0,0.0,0.0,0.0,28.512,369.417,0.0,0.0,1.521,0.0,0.285,0.095,0.0,0.0,0.76,0.38,4.372,3.897,78.027,9.029,0.0,0.285,0.095,0.285,0.285,0.095,0.0,0.475,0.0,0.285,0.095,0.0,0.0,19.483,0.0,0.0,0.0,0.0,0.0,0.0,14.636,0.0,0.38,1.616,0.0,0.57,0.0,0.0,0.0,0.0,3.136,0.095,0.285,0.0,0.0,0.095,0.285,13,767.82
7,Del Norte,0.245473610626,7023.0,7.0,3.0,4.0,3.0,2.0,1.0,0.428571428571,0.571428571429,0.428571428571,1.0,25.5,25.3,8.8,8.1,18.0,17.7,28610,9907,3818.0,2,128.0,49.7,82.1,862.76,3163.44,4745.17,17.2,78.9,5.04,3.65,10.01,1.04,6.59,8.35,13.82,63.85,22.32,5.99,0.428571428571,9.992,14.0,13.8,,7.6,10.7,12.3,14.5,16.6,,19.6,23.3,,15.3,16.9,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.16,0.0,0.0,0.0,0.0,17.517,0.0,0.0,0.0,0.0,0.0,0.0,3.503,3.503,3.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1604.28
8,El Dorado,0.0604060577274,10937.0,43.0,3.0,20.0,23.0,2.0,1.0,0.53488372093,0.46511627907,0.0697674418605,0.0,20.3,19.7,8.1,6.8,15.2,14.4,181058,70223,1643.0,3,234.0,14.44,93.4,4133.862,3867.794,14090.942,11.49,91.686,0.988,3.392,2.644,0.376,3.318,4.386,14.238,63.546,22.212,5.016,0.0697674418605,8.65671641791,28.0,12.8,,7.85,10.35,11.4,15.8,16.5,,19.6,20.1,4.65,14.5,16.9,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.291,134.31,0.0,0.0,0.0,0.0,1.658,0.0,0.0,0.0,0.553,0.0,1.105,6.08,8.843,2.211,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,1.105,0.0,0.0,0.0,0.0,29.847,0.0,0.0,0.0,0.0,0.0,0.0,12.712,0.0,0.0,1.105,0.0,0.553,0.0,0.0,0.0,0.0,0.553,0.0,0.0,0.0,0.0,0.0,0.0,17,1066.12
9,Fresno,0.180171959804,167641.0,199.0,31.0,170.0,29.0,26.0,5.0,0.145728643216,0.854271356784,0.155778894472,0.0,29.4,29.2,9.0,9.1,20.0,20.1,930450,289391,17523.0,44,5439.0,49.4285714286,72.9,4179.92071429,3755.86214286,16305.3842857,59.4907142857,69.3207142857,5.04428571429,7.77142857143,2.14,0.215,3.14071428571,18.8707142857,8.59357142857,59.815,31.5921428571,9.15928571429,0.155778894472,11.708650519,126.0,13.8,3.1,9.025,12.54,13.05,16.4,17.42,14.6666666667,20.15,23.0666666667,4.3,15.0125,17.3,13.6333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.814,638.821,0.0,0.0,78.083,0.107,1.394,0.0,0.0,0.0,0.858,0.644,2.038,2.467,85.591,11.047,0.0,0.322,0.0,0.644,0.215,0.0,0.0,0.0,0.215,0.107,0.0,0.0,0.0,58.991,0.0,0.0,0.0,0.0,0.0,0.0,15.23,0.0,0.322,2.467,0.0,0.644,0.0,0.0,0.0,0.0,5.899,0.0,0.215,0.0,0.215,0.0,0.0,19,635.82
10,Glenn,0.73710973615,20729.0,6.0,3.0,3.0,3.0,3.0,0.0,0.5,0.5,0.5,1.0,26.8,26.6,7.8,7.1,18.7,18.2,28122,9800,316.0,2,119.0,38.4,72.3,2855.69333333,1529.54666667,0.0,44.1033333333,75.1833333333,0.956666666667,2.46666666667,3.14333333333,0.0766666666667,2.71666666667,20.9233333333,11.9366666667,59.1433333333,28.9166666667,8.86,0.5,10.1454545455,14.0,,,,11.5,11.4,,,,,21.3,,15.3,16.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.106,163.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.553,0.0,0.0,0.0,0.0,0.0,0.0,10.659,0.0,0.0,7.106,0.0,0.0,0.0,0.0,0.0,0.0,3.553,0.0,0.0,0.0,0.0,0.0,0.0,21,965.46
11,Humboldt,0.241556049115,32519.0,30.0,8.0,16.0,14.0,6.0,2.0,0.466666666667,0.533333333333,0.266666666667,0.0,26.5,26.3,8.4,7.8,17.2,16.9,134623,56031,5014.0,5,293.0,22.98,90.9,1607.54,2103.22,960.04,7.462,80.452,1.208,3.314,15.498,0.722,4.576,3.688,13.368,64.714,21.92,5.924,0.266666666667,8.53827160494,56.0,14.6,,9.76666666667,13.2666666667,12.2666666667,15.8333333333,16.1,,20.0666666667,20.2666666667,4.1,14.7666666667,15.0666666667,12.1666666667,0.743,0.0,0.0,0.0,0.0,0.0,0.0,14.853,259.179,0.0,0.0,0.0,2.228,9.654,0.0,0.0,0.0,0.743,0.0,0.743,7.426,23.022,1.485,0.0,0.0,0.0,2.971,0.0,0.0,0.0,0.0,8.912,0.0,0.0,0.0,0.0,43.073,0.0,0.0,0.0,0.0,0.0,0.0,8.169,0.0,0.0,0.743,0.0,3.713,0.0,0.0,0.0,0.0,0.743,0.0,0.0,0.0,0.0,0.0,0.0,23,1385.34
12,Imperial,0.337842638431,58963.0,31.0,9.0,20.0,11.0,6.0,3.0,0.354838709677,0.645161290323,0.290322580645,1.0,23.5,23.3,7.4,7.5,23.1,23.2,174528,49126,10684.0,11,1032.0,40.34,62.9,2924.672,10969.084,1751.112,69.738,67.028,4.174,1.838,11.69,0.24,2.924,18.022,11.558,58.27,30.174,9.178,0.290322580645,17.9081395349,28.0,15.2,,7.45,11.25,12.45,12.55,17.0,,21.6,22.3,4.95,15.7,18.05,12.15,0.57,0.57,0.0,0.0,0.0,0.0,0.0,18.242,374.521,0.0,0.0,2.28,0.0,0.57,0.0,0.0,0.0,0.57,0.57,0.0,0.57,14.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,25.082,0.0,0.0,27.932,0.0,0.0,0.0,0.0,0.0,0.0,13.681,0.0,0.0,0.0,0.57,0.57,0.57,25,511.2
13,Inyo,0.182141701715,3378.0,6.0,1.0,2.0,4.0,0.0,1.0,0.666666666667,0.333333333333,0.166666666667,0.0,23.8,23.7,9.3,7.4,15.9,15.0,18546,8049,433.0,0,53.0,26.7666666667,81.668627451,1300.65,1514.96666667,4286.33333333,18.5233333333,78.3333333333,0.906666666667,1.51333333333,10.6866666667,0.26,1.91,10.34,19.25,59.1833333333,21.5633333333,5.59666666667,0.166666666667,6.72068965517,28.0,,,7.7,12.7,13.8,,,,21.0,21.2,4.5,14.5,16.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.587,178.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.793,16.19,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.173,0.0,0.0,0.0,0.0,0.0,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.397,0.0,0.0,0.0,0.0,0.0,0.0,27,1077.22
14,Kern,0.159990519645,134333.0,151.0,21.0,131.0,20.0,17.0,4.0,0.132450331126,0.867549668874,0.139072847682,0.0,27.8,27.6,7.8,8.2,22.1,22.3,839631,254610,36757.0,32,5411.0,49.2866666667,71.0,3453.89466667,4181.90466667,11117.2,45.0353333333,75.1206666667,4.95333333333,3.77133333333,2.52933333333,0.29,3.61533333333,17.1813333333,9.942,60.8913333333,29.168,8.146,0.139072847682,11.8895582329,126.0,14.725,3.33333333333,8.6,11.1142857143,12.7142857143,14.45,17.325,15.3333333333,20.9142857143,22.8285714286,4.9,15.8777777778,17.6714285714,13.375,0.119,0.119,0.0,0.0,0.0,0.0,0.0,31.266,626.636,0.0,0.0,227.543,0.238,0.951,0.0,0.119,0.0,0.357,0.713,4.993,3.329,115.317,12.245,0.0,0.119,0.0,0.951,0.357,0.0,0.0,0.238,0.238,0.238,0.0,0.119,0.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,11.175,0.0,0.0,1.189,0.119,0.238,0.0,0.0,0.238,0.0,4.161,0.0,0.119,0.0,0.119,0.0,0.119,29,664.3
15,Kings,0.240910695376,36855.0,27.0,7.0,23.0,4.0,7.0,0.0,0.148148148148,0.851851851852,0.259259259259,0.0,24.2,24.0,7.5,8.4,19.6,20.2,152982,41233,21580.0,5,784.0,63.2,69.5,1812.96666667,8659.86333333,22562.1666667,63.4566666667,71.1933333333,7.58333333333,3.00666666667,2.17666666667,0.153333333333,2.80666666667,18.8533333333,6.35,65.7533333333,27.9,8.54,0.259259259259,12.5211267606,28.0,15.9,,9.8,12.5,13.6,16.3,18.2,,22.2,25.0,4.6,16.1,14.8,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.859,324.835,0.0,0.0,248.865,0.0,0.0,0.0,0.0,0.0,0.655,0.0,3.275,1.31,14.408,9.169,0.0,0.0,0.0,0.655,0.655,0.0,0.0,0.0,0.0,0.655,0.0,0.0,0.0,17.028,0.0,0.0,0.0,0.0,0.0,0.0,3.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,31,685.7
16,Lake,0.0,0.0,15.0,0.0,5.0,10.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,26.7,26.2,10.0,8.0,20.1,18.9,64665,26548,1085.0,2,218.0,35.8,87.3,3110.756,5344.048,8516.6,15.34,89.514,2.554,2.046,4.448,0.536,3.344,4.536,17.522,60.55,21.928,5.402,0.0,11.346,28.0,15.6,,7.55,11.55,10.4,13.8,,,19.25,21.95,5.4,15.85,16.5,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.836,267.794,0.0,0.0,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.644,6.192,43.342,1.548,0.0,0.0,0.0,0.0,3.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,6.192,0.0,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.096,0.0,0.0,0.0,0.0,0.0,0.0,33,1829.16
17,Lassen,0.160567416535,5603.0,9.0,2.0,2.0,7.0,0.0,2.0,0.777777777778,0.222222222222,0.222222222222,0.0,25.6,25.3,7.5,7.8,16.6,16.9,34895,10058,9779.0,0,86.0,33.0,79.3,1645.4875,1598.45,0.0,19.9325,71.2375,9.3825,1.8875,3.6025,0.82,1.9625,15.11,11.0625,73.695,15.245,3.2175,0.222222222222,9.76129032258,14.0,,,8.4,11.2,11.7,,,,20.1,20.6,,14.6,17.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1213.62
